jour,incid_hosp,incid_rea,incid_dc,incid_rad
2020-03-19,2229,438,155,519
2020-03-20,1256,242,83,317
2020-03-21,1540,298,115,368
2020-03-22,1534,309,124,315
2020-03-23,2053,448,189,377
2020-03-24,2618,571,244,743
2020-03-25,3166,607,293,834
2020-03-26,3097,612,318,888
2020-03-27,3059,608,307,814
2020-03-28,3353,695,326,969
2020-03-29,2685,543,295,543
2020-03-30,3108,694,423,861
2020-03-31,4146,767,526,1589
2020-04-01,4281,771,516,1647
2020-04-02,3845,728,524,1577
2020-04-03,3627,640,606,1655
2020-04-04,2822,502,448,1495
2020-04-05,1931,390,361,773
2020-04-06,2754,478,613,1133
2020-04-07,3277,518,607,2161
2020-04-08,3139,482,562,2022
2020-04-09,2990,369,424,2032
2020-04-10,3161,431,578,1967
2020-04-11,2044,255,353,1527
2020-04-12,1688,220,315,825
2020-04-13,1257,227,343,551
2020-04-14,1965,275,559,1125
2020-04-15,2415,284,524,2224
2020-04-16,2084,270,435,1925
2020-04-17,2166,242,428,1720
2020-04-18,1565,206,368,1605
2020-04-19,890,137,231,622
2020-04-20,1464,208,450,933
2020-04-21,1885,190,404,1875
2020-04-22,1619,183,349,1587
2020-04-23,1410,178,320,1531
2020-04-24,1346,155,312,1464
2020-04-25,999,124,207,1166
2020-04-26,481,79,152,318
2020-04-27,964,125,300,736
2020-04-28,1321,153,328,1491
2020-04-29,1070,110,251,1430
2020-04-30,1048,121,207,1327
2020-05-01,668,73,138,862
2020-05-02,453,64,120,381
2020-05-03,345,80,101,245
2020-05-04,689,84,245,619
2020-05-05,987,111,244,1435
2020-05-06,833,69,181,1298
2020-05-07,728,99,159,1291
2020-05-08,510,89,118,817
2020-05-09,265,38,77,274
2020-05-10,253,38,70,212
2020-05-11,523,82,184,560
2020-05-12,670,92,194,1118
2020-05-13,543,69,105,943
2020-05-14,542,52,126,970
2020-05-15,438,64,120,892
2020-05-16,350,46,78,652
2020-05-17,152,24,54,159
2020-05-18,375,38,123,548
2020-05-19,506,69,140,882
2020-05-20,432,43,102,823
2020-05-21,271,28,58,530
2020-05-22,263,36,75,373
2020-05-23,233,30,47,361
2020-05-24,121,24,36,80
2020-05-25,342,45,93,609
2020-05-26,318,37,92,718
2020-05-27,271,32,67,736
2020-05-28,253,36,69,621
2020-05-29,255,29,63,656
2020-05-30,227,29,57,486
2020-05-31,72,18,35,93
2020-06-01,89,9,31,95
2020-06-02,229,33,85,402
2020-06-03,250,26,85,668
2020-06-04,195,23,46,544
2020-06-05,213,19,47,548
2020-06-06,143,15,35,309
2020-06-07,37,4,13,39
2020-06-08,145,23,55,245
2020-06-09,169,15,53,463
2020-06-10,130,23,34,337
2020-06-11,143,26,28,322
2020-06-12,136,18,33,440
2020-06-13,68,14,24,247
2020-06-14,33,6,9,51
2020-06-15,114,12,30,198
2020-06-16,143,14,42,317
2020-06-17,116,14,30,345
2020-06-18,136,15,29,236
2020-06-19,116,10,14,246
2020-06-20,90,7,19,206
2020-06-21,48,5,7,60
2020-06-22,142,16,23,242
2020-06-23,117,15,26,286
2020-06-24,97,8,13,272
2020-06-25,124,15,21,239
2020-06-26,87,15,26,309
2020-06-27,55,9,15,167
2020-06-28,44,4,2,30
2020-06-29,102,15,18,161
2020-06-30,152,8,21,282
2020-07-01,106,17,19,278
2020-07-02,93,12,16,254
2020-07-03,125,12,18,267
2020-07-04,47,4,13,118
2020-07-05,21,5,2,20
2020-07-06,98,10,13,130
2020-07-07,127,21,35,337
2020-07-08,83,18,34,345
2020-07-09,79,8,15,180
2020-07-10,136,9,25,221
2020-07-11,57,7,6,83
2020-07-12,26,5,1,32
2020-07-13,68,10,18,100
2020-07-14,61,7,6,84
2020-07-15,133,16,20,140
2020-07-16,119,23,18,218
2020-07-17,119,17,14,213
2020-07-18,68,6,8,90
2020-07-19,36,4,1,65
2020-07-20,137,18,16,148
2020-07-21,109,12,13,196
2020-07-22,132,17,7,225
2020-07-23,123,13,14,519
2020-07-24,126,16,13,345
2020-07-25,86,8,8,116
2020-07-26,36,1,1,34
2020-07-27,118,25,9,127
2020-07-28,172,22,15,236
2020-07-29,118,14,15,191
2020-07-30,116,14,16,174
2020-07-31,152,16,11,216
2020-08-01,77,11,6,149
2020-08-02,25,3,1,13
2020-08-03,142,29,22,142
2020-08-04,139,21,11,156
2020-08-05,137,15,9,144
2020-08-06,141,21,7,211
2020-08-07,136,20,12,168
2020-08-08,73,12,2,59
2020-08-09,14,4,0,5
2020-08-10,180,28,14,151
2020-08-11,191,21,15,194
2020-08-12,143,17,18,241
2020-08-13,201,25,17,203
2020-08-14,173,20,19,191
2020-08-15,87,15,4,49
2020-08-16,33,2,1,29
2020-08-17,234,34,19,148
2020-08-18,185,28,17,255
2020-08-19,162,31,17,161
2020-08-20,149,28,12,187
2020-08-21,210,37,23,189
2020-08-22,114,10,12,139
2020-08-23,29,6,1,24
2020-08-24,233,43,15,232
