date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,0.93,-1.03,30.21,30.21,-0.95,-0.59
2020-02-16,10.45,5.82,19.67,19.67,-0.72,-0.86
2020-02-17,3.19,3.81,0.78,0.78,-13.89,3.75
2020-02-18,6.46,3.07,3.18,3.18,-12.64,2.88
2020-02-19,-1.3,-1.91,1.76,1.76,-11.0,1.98
2020-02-20,1.57,0.07,3.15,3.15,-13.92,2.54
2020-02-21,0.82,-0.27,11.49,11.49,-13.76,2.83
2020-02-22,-4.05,-2.31,36.71,36.71,-4.04,-0.38
2020-02-23,11.89,9.92,25.35,25.35,-0.65,-1.5
2020-02-24,4.2,4.33,1.31,1.31,-17.21,3.63
2020-02-25,2.7,3.14,-1.35,-1.35,-16.35,4.05
2020-02-26,-4.68,-1.81,-4.14,-4.14,-14.19,2.9
2020-02-27,-3.25,0.64,-5.71,-5.71,-17.29,4.76
2020-02-28,-0.07,2.51,-0.16,-0.16,-16.39,4.35
2020-02-29,-6.0,0.49,14.13,14.13,-4.45,1.14
2020-03-01,3.73,6.19,11.53,11.53,1.44,-0.22
2020-03-02,-4.74,3.61,-3.03,-3.03,-6.97,3.23
2020-03-03,-0.64,4.58,-2.91,-2.91,-5.8,2.4
2020-03-04,-4.09,1.09,-3.57,-3.57,-4.71,1.99
2020-03-05,-5.05,0.67,-5.34,-5.34,-6.49,3.11
2020-03-06,-1.75,1.85,0.18,0.18,-5.77,2.7
2020-03-07,-2.51,-0.27,6.19,6.19,0.22,0.83
2020-03-08,3.18,3.75,5.24,5.24,0.08,0.53
2020-03-09,-3.18,1.95,-0.72,-0.72,-0.18,1.65
2020-03-10,-3.38,1.21,-2.67,-2.67,-0.32,1.57
2020-03-11,-3.86,0.23,-1.83,-1.83,-0.08,1.12
2020-03-12,-5.46,4.52,-2.58,-2.58,-0.68,1.47
2020-03-13,-5.94,15.92,-1.74,-1.74,-1.25,2.13
2020-03-14,-18.89,-1.51,-7.79,-7.79,-3.95,4.35
2020-03-15,-31.64,23.64,-11.66,-11.66,-5.74,2.68
2020-03-16,-41.2,43.4,-27.87,-27.87,-32.2,11.95
2020-03-17,-66.01,-17.63,-46.29,-46.29,-50.51,21.35
2020-03-18,-82.17,-49.07,-69.2,-69.2,-63.45,26.61
2020-03-19,-81.8,-43.5,-73.96,-73.96,-67.25,30.15
2020-03-20,-83.06,-43.88,-79.23,-79.23,-67.65,33.99
2020-03-21,-87.93,-57.22,-80.36,-80.36,-55.84,23.98
2020-03-22,-85.36,-66.51,-84.07,-84.07,-52.88,17.47
2020-03-23,-80.83,-42.53,-79.47,-79.47,-69.76,30.16
2020-03-24,-82.12,-46.65,-78.16,-78.16,-70.82,31.65
2020-03-25,-84.01,-50.96,-78.76,-78.76,-69.79,29.44
2020-03-26,-83.13,-47.78,-80.11,-80.11,-70.9,32.12
2020-03-27,-83.35,-47.65,-82.58,-82.58,-69.88,35.11
2020-03-28,-87.51,-58.75,-82.56,-82.56,-56.45,23.93
2020-03-29,-87.24,-74.91,-87.02,-87.02,-54.36,17.74
2020-03-30,-83.22,-49.3,-81.05,-81.05,-70.24,30.76
2020-03-31,-88.87,-44.5,-77.56,-77.56,-70.24,31.25
2020-04-01,-89.73,-46.48,-77.27,-77.27,-67.9,28.63
2020-04-02,-88.83,-42.94,-78.26,-78.26,-69.49,31.36
2020-04-03,-84.92,-42.34,-80.63,-80.63,-68.34,34.38
2020-04-04,-88.17,-51.19,-79.25,-79.25,-54.47,23.28
2020-04-05,-84.58,-65.89,-83.26,-83.26,-50.38,16.92
2020-04-06,-82.31,-41.1,-77.8,-77.8,-68.2,29.44
2020-04-07,-81.31,-39.12,-75.99,-75.99,-68.38,30.11
2020-04-08,-83.06,-42.15,-76.54,-76.54,-66.19,27.24
2020-04-09,-81.61,-36.62,-76.77,-76.77,-67.7,29.81
2020-04-10,-81.79,-37.26,-79.27,-79.27,-67.66,33.23
2020-04-11,-85.32,-44.84,-79.34,-79.34,-52.33,22.27
2020-04-12,-81.46,-61.77,-83.58,-83.58,-47.96,16.54
2020-04-13,-90.88,-83.15,-88.11,-88.11,-87.88,36.6
2020-04-14,-77.47,-26.33,-74.51,-74.51,-66.05,28.35
2020-04-15,-80.59,-36.75,-73.49,-73.49,-63.93,26.48
2020-04-16,-79.55,-35.03,-74.65,-74.65,-65.55,29.06
2020-04-17,-80.15,-37.13,-77.59,-77.59,-64.65,32.02
2020-04-18,-85.07,-48.02,-77.61,-77.61,-49.52,22.09
2020-04-19,-83.96,-65.04,-82.4,-82.4,-47.29,16.64
2020-04-20,-78.01,-40.43,-75.98,-75.98,-64.58,27.93
2020-04-21,-77.52,-37.09,-73.32,-73.32,-64.01,28.31
2020-04-22,-79.25,-39.26,-72.43,-72.43,-61.46,25.59
2020-04-23,-77.64,-34.51,-72.64,-72.64,-63.03,27.65
2020-04-24,-78.05,-35.3,-75.85,-75.85,-62.35,30.67
2020-04-25,-83.07,-44.86,-75.86,-75.86,-46.79,21.02
2020-04-26,-81.09,-58.72,-78.68,-78.68,-41.49,15.33
2020-04-27,-74.29,-36.55,-72.83,-72.83,-60.69,26.11
2020-04-28,-74.6,-33.79,-71.47,-71.47,-61.03,26.94
2020-04-29,-75.36,-32.25,-70.24,-70.24,-57.82,23.95
2020-04-30,-70.64,-15.33,-72.22,-72.22,-59.66,25.43
2020-05-01,-91.0,-88.55,-87.58,-87.58,-86.25,40.48
2020-05-02,-77.35,-28.68,-74.91,-74.91,-44.35,20.31
2020-05-03,-79.68,-56.43,-77.58,-77.58,-36.87,14.85
2020-05-04,-67.63,-23.98,-68.34,-68.34,-55.95,23.69
2020-05-05,-67.85,-22.16,-65.8,-65.8,-55.92,24.46
2020-05-06,-69.64,-23.37,-64.57,-64.57,-52.52,21.6
2020-05-07,-65.49,-11.06,-65.63,-65.63,-53.91,22.56
2020-05-08,-83.15,-61.65,-81.31,-81.31,-79.98,36.02
2020-05-09,-74.24,-26.51,-68.67,-68.67,-36.59,18.47
2020-05-10,-76.73,-50.21,-74.58,-74.58,-30.84,14.04
2020-05-11,-41.49,-9.77,-51.25,-51.25,-43.13,16.75
2020-05-12,-40.4,-4.21,-43.56,-43.56,-41.87,15.96
